name,storeno,address1,city,state,zipcode,phone
Pier 88 Boiling Seafood & Bar,1,10040 W McDowell Rd,Avondale,AZ,85392,623 742-4512  
Pier 88 Boiling Seafood & Bar,2,2288 Gunbarrel Rd,Chattanooga,TN,37421,423 468-3683  
Pier 88 Boiling Seafood & Bar,3,1437 Sams Dr.,Chesapeake,VA,23320, 757 290-0040   
Pier 88 Boiling Seafood & Bar,4,2040 Coliseum Dr,Hampton,VA,23666,757 224-5288   
Pier 88 Boiling Seafood & Bar,5,5850 University Dr,Huntsville,AL,35806,256 585-3883  
Pier 88 Boiling Seafood & Bar,6,11825 E US HWY 40,Independence,MO,64055,816 800-6020  
Pier 88 Boiling Seafood & Bar,7,5825 Spring Mountain Road,Las Vegas,NV,89146,702 476-3888  
Pier 88 Boiling Seafood & Bar,8,2080 North Rainbow Boulevard,Las Vegas,NV,89108,7026400640  
Pier 88 Boiling Seafood & Bar,9,3015 184TH ST SWLynnwood,Lynnwood,WA,98037,4256788516   
Pier 88 Boiling Seafood & Bar,10,945 N Dobson Road,Mesa,AZ,85201,480 833-6544   
Pier 88 Boiling Seafood & Bar,11,4949 S Montclair Plz Ln,Montclair,CA,91763,909 399-1998  
Pier 88 Boiling Seafood & Bar,12,12551 Jefferson Ave,Newport News,VA,23602,757 833-8881   
Pier 88 Boiling Seafood & Bar,13,865 W Craig Road,North Las Vegas,NV,89032,702 640-0196  
Pier 88 Boiling Seafood & Bar,14,2125 W Interstate 240 Service Rd,Oklahoma City,OK,73159,405 601-8812  
Pier 88 Boiling Seafood & Bar,15,1205 W Rancho Vista Blvd,Palmdale,CA,93551,661 225-9888  
Pier 88 Boiling Seafood & Bar,16,2119 W Britton Rd,The Village,OK,73120,405 849-9477  
Pier 88 Boiling Seafood & Bar,17,17380 Southcenter Parkway,Tukwila,WA,98188,253 277-2690  
Pier 88 Boiling Seafood & Bar,18,72363 Highway 111,Palm Desert,CA,92260,253 277-2690  
